Author,Title,Topic,URL,Estimated_Date,Key_Focus,Profile_Type
John Mathieu,8 Ways to Prevent Unplanned Downtime,Unplanned Downtime,https://www.linkedin.com/pulse/8-ways-prevent-unplanned-downtime-john-mathieu,2023-2024,Prevention strategies for maintenance downtime,Article
Andrew Samuel,Reliability Engineer Profile,Unplanned Downtime,https://www.linkedin.com/in/andrew-samuel-tx/,May 2025,Reduced unplanned downtime by 15% at Tesla through predictive maintenance,Profile
ATIF WAHEED,Senior Process Safety Engineer Profile,Unplanned Downtime,https://www.linkedin.com/in/waheedatif/,2024,Reduced unplanned downtime by 25% annually in refinery operations,Profile
MaintainX,Company - Maintenance Software,Unplanned Downtime,https://www.linkedin.com/company/getmaintainx,2024,Work execution software to reduce downtime and increase asset availability,Company
Innovapptive Inc,Unplanned Downtime Costs More Than You Think,Unplanned Downtime,https://www.linkedin.com/pulse/unplanned-downtime-costs-more-than-you-think-innovapptive-inc,2023-2024,Analysis of hidden costs of unplanned downtime,Article
Salman Rashid,6 Hacks to Reduce Unplanned Maintenance Downtime,Unplanned Downtime,https://www.linkedin.com/pulse/6-hacks-reduce-unplanned-maintenance-downtime-salman-rashid,2023-2024,Practical strategies for maintenance downtime reduction,Article
Kenneth Sewell,How to be the Chief of Tribal Knowledge,Tribal Knowledge,https://www.linkedin.com/pulse/how-chief-tribal-knowledge-kenneth-sewell,2022-2023,Leadership role in managing organizational tribal knowledge,Article
Craig Mitchell,THE DANGERS OF TRIBAL KNOWLEDGE,Tribal Knowledge,https://www.linkedin.com/pulse/dangers-tribal-knowledge-craig-mitchell,2022-2023,Risks and challenges of undocumented tribal knowledge,Article
Stephen DeAngelis,Sharing Tribal Knowledge,Tribal Knowledge,https://www.linkedin.com/pulse/sharing-tribal-knowledge-stephen-deangelis,2022-2023,Strategies for knowledge sharing and documentation,Article
Brian Davidson,The Truth of Tribal Knowledge and your Place in the Tribe,Tribal Knowledge,https://www.linkedin.com/pulse/truth-tribal-knowledge-your-place-tribe-brian-davidson,2022-2023,Organizational culture and knowledge management,Article
Jim Gavigan,How tribal knowledge can get in the way of data driven decision making,Tribal Knowledge,https://www.linkedin.com/pulse/how-tribal-knowledge-can-get-way-data-driven-decision-jim-gavigan,2022-2023,Impact of tribal knowledge on data-driven operations,Article
Unknown Author,Tribal knowledge stumbling block to AIOps transformation,Tribal Knowledge,https://www.linkedin.com/pulse/tribal-knowledge-secret-stumbling-block-aiops-transformation-hfrhc,November 2023,How undocumented SOPs affect AIOps and automation,Article
Md Ifran,Latest Trends in Maintenance Management,Unplanned Downtime,https://www.linkedin.com/pulse/latest-trends-maintenance-management-md-ifran,2023-2024,Current trends in maintenance and reliability management,Article
PlutoMen,Cost of Unplanned Downtime in Manufacturing,Unplanned Downtime,https://www.linkedin.com/pulse/cost-unplanned-downtime-manufacturing-how-avoid-plutomen,2023-2024,Financial impact and prevention in manufacturing,Article
Unnamed Author,Preventive vs. Predictive Maintenance,Unplanned Downtime,https://www.linkedin.com/pulse/preventive-vs-predictive-maintenance-which-more-effective,2023-2024,Comparison of maintenance strategies for reducing downtime,Article
